comuna,anio,casos,poblacion,tasa_incidencia_100k
Altavista,2017,32,38856.0,82.35536339304096
Altavista,2018,13,38856.0,33.456866378422895
Altavista,2019,15,40150.0,37.359900373599004
Altavista,2020,11,41350.0,26.602176541717046
Altavista,2021,4,42442.0,9.424626549172988
Aranjuez,2017,131,141312.0,92.70267210144928
Aranjuez,2018,79,141312.0,55.90466485507246
Aranjuez,2019,56,142990.0,39.1635778725785
Aranjuez,2020,23,144233.0,15.946420028703555
Aranjuez,2021,15,144815.0,10.358043020405345
Belén,2017,223,202931.0,109.88956837545767
Belén,2018,97,202931.0,47.799498351656474
Belén,2019,133,206745.0,64.3304553919079
Belén,2020,81,210015.0,38.5686736661667
Belén,2021,17,212479.0,8.000790666371735
Buenos Aires,2017,144,155391.0,92.66945962121358
Buenos Aires,2018,64,155391.0,41.18642649831715
Buenos Aires,2019,65,160045.0,40.61357743134744
Buenos Aires,2020,29,164279.0,17.652895379202455
Buenos Aires,2021,10,167860.0,5.957345406886692
Castilla,2017,100,123992.0,80.65036453964773
Castilla,2018,52,123992.0,41.93818956061681
Castilla,2019,71,125276.0,56.674861904913946
Castilla,2020,26,126200.0,20.602218700475436
Castilla,2021,10,126587.0,7.8997053409907805
San Cristóbal,2017,56,116420.0,48.10170073870469
San Cristóbal,2018,25,116420.0,21.473973544064595
San Cristóbal,2019,26,123483.0,21.055529910999894
San Cristóbal,2020,29,130514.0,22.219838484760256
San Cristóbal,2021,6,137277.0,4.370724884722131
Santa Elena,2017,11,23468.0,46.87233679904551
Santa Elena,2018,6,23468.0,25.56672916311573
Santa Elena,2020,4,26464.0,15.114873035066505
Santa Elena,2021,1,27916.0,3.5821750967187276
Doce De Octubre,2017,132,177190.0,74.49630340312659
Doce De Octubre,2018,79,177190.0,44.58490885490152
Doce De Octubre,2019,53,179493.0,29.527613890235276
Doce De Octubre,2020,21,181235.0,11.587165834413883
Doce De Octubre,2021,14,182165.0,7.685340213542667
El Poblado,2017,84,106805.0,78.64800337062871
El Poblado,2018,58,106805.0,54.304573755910305
El Poblado,2019,71,108345.0,65.53140431030505
El Poblado,2020,20,109600.0,18.248175182481752
El Poblado,2021,22,110479.0,19.91328668796785
Guayabal,2017,78,64651.0,120.6477858037772
Guayabal,2018,49,64651.0,75.7915577485267
Guayabal,2019,34,65011.0,52.2988417344757
Guayabal,2020,9,65146.0,13.815122954594296
Guayabal,2021,2,65024.0,3.0757874015748032
La América,2017,89,85416.0,104.19593518778683
La América,2018,52,85416.0,60.87852392994287
La América,2019,45,86403.0,52.08152494705045
La América,2020,16,87128.0,18.363786612799558
La América,2021,8,87489.0,9.144006675124873
La Candelaria,2017,99,75913.0,130.41244582614308
La Candelaria,2018,63,75913.0,82.98973825300016
La Candelaria,2019,63,77053.0,81.76190414390096
La Candelaria,2020,25,77926.0,32.08171855349948
La Candelaria,2021,14,78478.0,17.83939447998165
Laureles Estadio,2017,78,99904.0,78.07495195387573
Laureles Estadio,2018,61,99904.0,61.05861627162076
Laureles Estadio,2019,43,100749.0,42.680324370465215
Laureles Estadio,2020,43,101316.0,42.44147025149039
Laureles Estadio,2021,7,101473.0,6.898386762981286
Manrique,2017,158,164858.0,95.8400562908685
Manrique,2018,73,164858.0,44.28053233692026
Manrique,2019,105,168724.0,62.231810530807714
Manrique,2020,31,172090.0,18.01382997268871
Manrique,2021,13,174692.0,7.441668765598882
Popular,2017,93,136986.0,67.89014935832859
Popular,2018,64,136986.0,46.72010278422613
Popular,2019,61,140218.0,43.50368711577686
Popular,2020,21,143039.0,14.681310691489733
Popular,2021,14,145235.0,9.639549695321376
Robledo,2017,142,189238.0,75.03778310910072
Robledo,2018,99,189238.0,52.31507413944345
Robledo,2019,66,194042.0,34.01325486234939
Robledo,2020,43,198274.0,21.687160192460937
Robledo,2021,15,201656.0,7.4384099654857785
San Antonio De Prado,2017,53,94801.0,55.906583263889615
San Antonio De Prado,2018,21,94801.0,22.15166506682419
San Antonio De Prado,2019,38,99358.0,38.24553634332414
San Antonio De Prado,2020,10,103822.0,9.631869931228447
San Antonio De Prado,2021,3,107996.0,2.77788066224675
San Javier,2017,123,157243.0,78.22287796595079
San Javier,2018,65,157243.0,41.33729323403904
San Javier,2019,53,161562.0,32.80474368972902
San Javier,2020,35,165436.0,21.15621751009454
San Javier,2021,12,168649.0,7.115369791697549
San Sebastián De Palmitas,2017,1,5474.0,18.26817683595177
San Sebastián De Palmitas,2019,1,5689.0,17.577781683951486
Santa Cruz,2017,92,113064.0,81.36984362838747
Santa Cruz,2018,54,113064.0,47.76056039057525
Santa Cruz,2019,43,115588.0,37.20109353912171
Santa Cruz,2020,17,117744.0,14.438103003125423
Santa Cruz,2021,5,119374.0,4.188516762444084
Santa Elena,2019,9,24953.0,36.067807478058754
Sin Informacion,2017,108,,
Sin Informacion,2018,49,,
Sin Informacion,2019,83,,
Sin Informacion,2020,93,,
Sin Informacion,2021,28,,
Villa Hermosa,2017,127,153216.0,82.88951545530493
Villa Hermosa,2018,65,153216.0,42.42376775271512
Villa Hermosa,2019,102,157668.0,64.69289900296826
Villa Hermosa,2020,42,161728.0,25.969529085872576
Villa Hermosa,2021,20,165061.0,12.116732601886575
