anio,mes,tabla_origen,categoria,valor
2023,ENE,capital_departamento,MEDELLIN,8454
2023,FEB,capital_departamento,MEDELLIN,8726
2023,MAR,capital_departamento,MEDELLIN,9733
2023,ABR,capital_departamento,MEDELLIN,8258
2023,MAY,capital_departamento,MEDELLIN,9577
2023,JUN,capital_departamento,MEDELLIN,8800
2023,JUL,capital_departamento,MEDELLIN,9142
2023,AGO,capital_departamento,MEDELLIN,10183
2023,SEP,capital_departamento,MEDELLIN,10680
2023,OCT,capital_departamento,MEDELLIN,10707
2023,ENE,departamento,ANTIOQUIA,16844
2023,FEB,departamento,ANTIOQUIA,17464
2023,MAR,departamento,ANTIOQUIA,19099
2023,ABR,departamento,ANTIOQUIA,16480
2023,MAY,departamento,ANTIOQUIA,18786
2023,JUN,departamento,ANTIOQUIA,17646
2023,JUL,departamento,ANTIOQUIA,18349
2023,AGO,departamento,ANTIOQUIA,20566
2023,SEP,departamento,ANTIOQUIA,21676
2023,OCT,departamento,ANTIOQUIA,21625
2023,JUL,motivo_especifico_2024_2026,NEGACIÓN PARA LA ENTREGA DE TECNOLOGÍAS EN SALUD Y/O DE OTRO,6578
2023,AGO,motivo_especifico_2024_2026,NEGACIÓN PARA LA ENTREGA DE TECNOLOGÍAS EN SALUD Y/O DE OTRO,13068
2023,SEP,motivo_especifico_2024_2026,NEGACIÓN PARA LA ENTREGA DE TECNOLOGÍAS EN SALUD Y/O DE OTRO,12784
2023,OCT,motivo_especifico_2024_2026,NEGACIÓN PARA LA ENTREGA DE TECNOLOGÍAS EN SALUD Y/O DE OTRO,13667
2023,JUL,motivo_especifico_2024_2026,NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS,19312
2023,AGO,motivo_especifico_2024_2026,NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS,38763
2023,SEP,motivo_especifico_2024_2026,NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS,30042
2023,OCT,motivo_especifico_2024_2026,NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS,30613
2023,JUL,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LAS CITAS O CONSULTAS,26144
2023,AGO,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LAS CITAS O CONSULTAS,12316
2023,SEP,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LAS CITAS O CONSULTAS,19026
2023,OCT,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LAS CITAS O CONSULTAS,20128
2023,JUL,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,13651
2023,AGO,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,7465
2023,SEP,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,11298
2023,OCT,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,12734
2023,JUL,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,9775
2023,AGO,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,5044
2023,SEP,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,6038
2023,OCT,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,7661
2023,JUL,motivo_especifico_2024_2026,NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD,9475
2023,AGO,motivo_especifico_2024_2026,NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD,18402
2023,SEP,motivo_especifico_2024_2026,NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD,13424
2023,OCT,motivo_especifico_2024_2026,NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD,13502
2023,JUL,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,5490
2023,AGO,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,6847
2023,SEP,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,8040
2023,OCT,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,8749
2023,JUL,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,2884
2023,AGO,motivo_especifico_2024_2026,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,3621
