anio,semana,nombreestacion,precipitacion_acumulada
2016,52,APTO OLAYA HERRERA - TX GPRS,0.0
2016,52,PAJARITO - AUT,0.1
2017,1,APTO OLAYA HERRERA - TX GPRS,3.216
2017,1,PAJARITO - AUT,8.5
2017,2,APTO OLAYA HERRERA - TX GPRS,0.439
2017,2,PAJARITO - AUT,0.6000000000000001
2017,3,APTO OLAYA HERRERA - TX GPRS,4.221
2017,3,PAJARITO - AUT,26.5
2017,5,APTO OLAYA HERRERA - TX GPRS,0.795
2017,5,PAJARITO - AUT,0.8
2017,6,APTO OLAYA HERRERA - TX GPRS,1.1929999999999998
2017,6,PAJARITO - AUT,0.7
2017,7,APTO OLAYA HERRERA - TX GPRS,0.051
2017,7,PAJARITO - AUT,10.8
2017,8,APTO OLAYA HERRERA - TX GPRS,95.649
2017,8,PAJARITO - AUT,24.900000000000002
2017,9,APTO OLAYA HERRERA - TX GPRS,21.252
2017,9,PAJARITO - AUT,17.6
2017,10,APTO OLAYA HERRERA - TX GPRS,50.576
2017,10,PAJARITO - AUT,55.800000000000004
2017,11,APTO OLAYA HERRERA - TX GPRS,41.942
2017,11,PAJARITO - AUT,52.8
2017,12,APTO OLAYA HERRERA - TX GPRS,44.398
2017,12,PAJARITO - AUT,60.7
2017,13,APTO OLAYA HERRERA - TX GPRS,95.039
2017,13,PAJARITO - AUT,77.7
2017,14,APTO OLAYA HERRERA - TX GPRS,19.146
2017,14,PAJARITO - AUT,25.8
2017,15,APTO OLAYA HERRERA - TX GPRS,14.75
2017,15,PAJARITO - AUT,13.6
2017,16,APTO OLAYA HERRERA - TX GPRS,14.071
2017,16,PAJARITO - AUT,19.5
2017,17,APTO OLAYA HERRERA - TX GPRS,57.492
2017,17,PAJARITO - AUT,63.300000000000004
2017,18,APTO OLAYA HERRERA - TX GPRS,72.462
2017,18,PAJARITO - AUT,42.9
2017,19,APTO OLAYA HERRERA - TX GPRS,59.597
2017,19,PAJARITO - AUT,39.4
2017,20,APTO OLAYA HERRERA - TX GPRS,108.851
2017,20,PAJARITO - AUT,38.4
2017,21,APTO OLAYA HERRERA - TX GPRS,3.335
2017,21,PAJARITO - AUT,1.7
2017,22,APTO OLAYA HERRERA - TX GPRS,13.709999999999999
2017,22,PAJARITO - AUT,4.3
2017,23,APTO OLAYA HERRERA - TX GPRS,68.355
2017,23,PAJARITO - AUT,34.7
2017,24,APTO OLAYA HERRERA - TX GPRS,36.922
2017,24,PAJARITO - AUT,36.9
2017,25,APTO OLAYA HERRERA - TX GPRS,35.689
2017,25,PAJARITO - AUT,22.5
2017,26,APTO OLAYA HERRERA - TX GPRS,60.302
2017,26,PAJARITO - AUT,46.1
2017,27,APTO OLAYA HERRERA - TX GPRS,2.7640000000000002
2017,27,PAJARITO - AUT,3.3000000000000003
2017,28,APTO OLAYA HERRERA - TX GPRS,18.069
2017,28,PAJARITO - AUT,0.0
2017,29,APTO OLAYA HERRERA - TX GPRS,22.709
2017,29,PAJARITO - AUT,0.30000000000000004
2017,30,APTO OLAYA HERRERA - TX GPRS,0.225
2017,30,PAJARITO - AUT,0.1
2017,31,APTO OLAYA HERRERA - TX GPRS,17.432
2017,31,PAJARITO - AUT,9.8
2017,32,APTO OLAYA HERRERA - TX GPRS,42.252
2017,32,PAJARITO - AUT,20.0
2017,33,APTO OLAYA HERRERA - TX GPRS,56.728
2017,33,PAJARITO - AUT,24.1
2017,34,APTO OLAYA HERRERA - TX GPRS,15.946
2017,34,PAJARITO - AUT,11.5
2017,35,APTO OLAYA HERRERA - TX GPRS,23.967
2017,35,PAJARITO - AUT,21.8
2017,36,APTO OLAYA HERRERA - TX GPRS,69.382
2017,36,PAJARITO - AUT,69.10000000000001
2017,37,APTO OLAYA HERRERA - TX GPRS,48.744
2017,37,PAJARITO - AUT,60.2
2017,38,APTO OLAYA HERRERA - TX GPRS,54.601
2017,38,PAJARITO - AUT,28.6
2017,39,APTO OLAYA HERRERA - TX GPRS,24.037
2017,39,PAJARITO - AUT,36.7
2017,40,APTO OLAYA HERRERA - TX GPRS,61.411
2017,40,PAJARITO - AUT,34.5
2017,41,APTO OLAYA HERRERA - TX GPRS,17.733
2017,41,PAJARITO - AUT,4.9
2017,42,APTO OLAYA HERRERA - TX GPRS,19.988
2017,42,PAJARITO - AUT,16.4
2017,43,APTO OLAYA HERRERA - TX GPRS,24.742
2017,43,PAJARITO - AUT,18.1
2017,44,APTO OLAYA HERRERA - TX GPRS,23.264
2017,44,PAJARITO - AUT,28.5
2017,45,APTO OLAYA HERRERA - TX GPRS,6.087
