anio,semana,nombreestacion,temperatura_promedio
2005,24,PAJARITO - AUT,22.8
2005,24,VILLANUEVA,15.61111111111111
2005,36,PAJARITO - AUT,23.724675324675324
2005,37,PAJARITO - AUT,23.64788732394366
2005,38,PAJARITO - AUT,21.28385093167702
2005,39,PAJARITO - AUT,20.400671140939597
2005,40,PAJARITO - AUT,20.523125
2005,41,PAJARITO - AUT,20.64251497005988
2005,42,PAJARITO - AUT,20.748507462686568
2005,48,PAJARITO - AUT,21.794186046511626
2005,49,PAJARITO - AUT,21.262758620689656
2005,50,PAJARITO - AUT,21.3111801242236
2005,51,PAJARITO - AUT,20.243708609271525
2005,52,PAJARITO - AUT,21.0525641025641
2006,1,PAJARITO - AUT,19.778787878787877
2006,2,PAJARITO - AUT,21.226347305389222
2006,3,PAJARITO - AUT,21.526993865030676
2006,4,PAJARITO - AUT,22.362874251497004
2006,5,PAJARITO - AUT,21.134999999999998
2006,6,PAJARITO - AUT,20.279999999999998
2006,7,PAJARITO - AUT,22.491666666666664
2006,8,PAJARITO - AUT,22.616463414634147
2006,9,PAJARITO - AUT,22.527380952380952
2006,10,PAJARITO - AUT,20.562048192771087
2006,11,PAJARITO - AUT,21.405952380952378
2006,12,PAJARITO - AUT,20.70722891566265
2006,13,PAJARITO - AUT,22.133333333333333
2006,14,PAJARITO - AUT,20.736904761904764
2006,15,PAJARITO - AUT,20.49520958083832
2006,16,PAJARITO - AUT,22.3920245398773
2006,16,VILLANUEVA,19.818627450980394
2006,17,PAJARITO - AUT,21.149404761904762
2006,17,VILLANUEVA,18.147560975609753
2006,18,PAJARITO - AUT,20.397590361445783
2006,18,VILLANUEVA,17.817682926829267
2006,19,PAJARITO - AUT,21.080239520958084
2006,19,VILLANUEVA,18.46595744680851
2006,20,PAJARITO - AUT,21.45843373493976
2006,20,VILLANUEVA,18.396835443037972
2006,21,PAJARITO - AUT,23.039759036144577
2006,21,VILLANUEVA,19.667701863354036
2006,22,PAJARITO - AUT,21.050602409638554
2006,22,VILLANUEVA,18.155089820359283
2006,23,PAJARITO - AUT,20.065060240963856
2006,23,VILLANUEVA,17.25925925925926
2006,24,PAJARITO - AUT,21.702380952380953
2006,24,VILLANUEVA,18.471686746987952
2006,25,PAJARITO - AUT,22.255357142857143
2006,25,VILLANUEVA,18.958024691358023
2006,26,PAJARITO - AUT,23.627611940298507
2006,26,VILLANUEVA,20.772151898734176
2006,27,PAJARITO - AUT,23.767721518987344
2006,27,VILLANUEVA,20.363576158940397
2006,28,PAJARITO - AUT,23.356923076923078
2006,28,VILLANUEVA,19.642857142857142
2006,29,PAJARITO - AUT,22.741129032258065
2006,29,VILLANUEVA,18.91698113207547
2006,30,PAJARITO - AUT,21.271212121212123
2006,30,VILLANUEVA,17.563157894736843
2006,31,PAJARITO - AUT,23.42634730538922
2006,31,VILLANUEVA,20.22193548387097
2006,32,PAJARITO - AUT,23.14702380952381
2006,32,VILLANUEVA,20.07051282051282
2006,33,PAJARITO - AUT,22.06848484848485
2006,33,VILLANUEVA,18.92654320987654
2006,34,PAJARITO - AUT,21.2437125748503
2006,34,VILLANUEVA,18.035151515151515
2006,35,PAJARITO - AUT,22.41572327044025
2006,35,VILLANUEVA,19.193125000000002
2006,36,PAJARITO - AUT,21.597619047619048
2006,36,VILLANUEVA,18.374850299401196
2006,37,PAJARITO - AUT,22.070658682634733
2006,37,VILLANUEVA,18.647305389221557
